,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
1126,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,3,6,0,1,1,2,5,1,1,1,0,7,15920621.74,268071006.1,0.013613421,15797099.98,97019340.79,0.006889027,321100000,0
1127,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,10,5,0,2,0,2,6,1,5,0,0,3,0,0,11934334.31,295760162,0.005316975,0,41420297.73,0,400400000,0
1128,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,7,1,7,3,2,6,6,3,0,0,0,0,2456063.305,345778331.3,0.002137529,116745612.3,22928006.72,0.05044331,595100000,0
1129,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,0,2,3,0,0,2,3,6,5,4,7,7,1,0,0,170288530.5,0,0,117704687.7,0,607900000,0
1130,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,7,1,0,6,0,0,0,1,4,1,4,0,2,3,0,13254015.55,223153338.8,0.011151825,1712298.717,76386759.91,0.000423967,400400000,0
1131,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,6,7,2,0,7,1,4,7,1,3,3,0,0,0,282654438.9,0,0,63670395.91,0,460200000,0
1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,4,7,1,1,0,0,0,0,0,0,2600047.704,342042721.4,0.000146101,208487456.4,0,0.009939692,0,6446.867958
1133,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,6,2,7,0,7,7,0,6007881.871,167823324.8,0.000971639,1257171.871,122690507.9,0.000122476,394500000,93.42560455
1134,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,6,3,4,4,6,6,3,7,2,0,24497521.14,230608426.1,0.004028312,0,119720067.4,0,205800000,304.4056644
1135,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,278556607.7,0,0.185161084,0,58285748.85,0,340700000,0
1136,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,5,0,0,2,0,0,7,1,5,3,7,7,6,7,0,0,194374000.2,0,0,138522656.5,0,523300000,0
1137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,6,1,0,0,0,1,7,0,0,0,0,0,265805676,175423394.3,0.023602681,13929909.27,14261651.78,0.000893043,121200000,3263.902814
1138,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,7,3,0,0,0,0,7,0,397351711.8,103081109.4,0.015787047,23266696.77,44193513.55,0.000837015,61400000,3253.034601
1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,0,1,0,3,4,0,4,3,0,0,7,0,72066684.21,240718334,0.011686658,8496502.568,63558141.57,0.001302592,0,1024.280671
1140,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,3,5,0,4,3,0,5,0,0,7,5,1,2,1,0,0,238869943.5,0,34758158.6,92080952.2,0.001838537,402100000,1024.373241
1141,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,3,3,0,5,0,3,0,3,4,0,0,0,0,56528692.93,180043103.3,0.005794997,79976665.13,19176830.96,0.004145387,461900000,3582.495924
1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,3,2,7,1,1,0,3,4,0,0,0,43034172.65,310730980.6,0.006917551,189336337.3,19176830.96,0.029197071,0,3293.591511
1143,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,6,0,2,0,0,1,0,0,7,0,1,0,141077531.7,192699172.9,0.120474226,5640741.993,39298865.87,0.001726028,595100000,0
1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,2,7,0,3,0,0,1,0,195662967,180412698.1,0.01381909,13128064.66,33490621.78,0.00056077,0,5149.579581
1145,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,5,1,0,3,0,3,0,7,0,0,94518256.83,183188168.3,0.007976974,1200970.132,52646921.24,4.02E-05,556800000,1893.400716
1146,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,7,0,0,5,0,1,3,1,4,7,0,5,2,0,32814852.04,231115908.2,0.020062276,0,95308363.3,0,369700000,0
1147,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,3,0,0,7,0,0,6,0,0,44330959.69,61453235.69,0.002370267,0,54535324.17,0,402100000,1144.806316
1148,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,4,6,1,4,2,1,28886538.98,84895291.27,0.012971643,0,128489133.9,0,402100000,0
1149,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,7,7,3,1,4,0,6,1,0,0,67346593.97,250054847.8,0.01081714,15797099.98,49129432.81,0.00248005,205800000,1070.678445
1150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,2,4,3,1,6,6,3,80777682.87,154603247.4,0.068745104,0,162328559,0,30700000,0
